"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","jspsych-survey-multi-choice-response-0","question_order"
"1230","<p>In this experiment, you will see 3 visualizations, each for 10 seconds.</p> <p> You need to remember the data fact <b>highlighted with annotation</b>, and try to recall it.</p>","0","html-button-response","0","1234","0.0-0.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"2486","","{""Q0"":""durian""}","survey-multi-choice","1","3723","0.0-1.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"1376","<p>Great! You passed the attention check. Now let's begin!</p>","0","html-button-response","2","5105","0.0-2.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart68.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","3","15126","0.0-3.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""Filter-Bar-Bound.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","4","25137","0.0-4.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart506.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","5","35138","0.0-5.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"36145","","{""Q0"":""The number of mobile customers in UK drops below 30 million from 2018 to 2019.""}","survey-multi-choice","6","71289","0.0-6.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart275.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","7","81302","0.0-7.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""Range-Bar-Line.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","8","91310","0.0-8.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart155.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","9","101314","0.0-9.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
