"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","question_order"
"7556","<p>In this experiment, you will see 3 visualizations, each for 10 seconds.</p> <p> You need to remember the data fact <b>highlighted with annotation</b>, and try to recall it.</p>","0","html-button-response","0","7559","0.0-0.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"7678","","{""Q0"":""durian""}","survey-multi-choice","1","15240","0.0-1.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"1829","<p>Great! You passed the attention check. Now let's begin!</p>","0","html-button-response","2","17071","0.0-2.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""Filter-Bar-Line.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","3","27073","0.0-3.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart419.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","4","37075","0.0-4.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart387.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","5","47076","0.0-5.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"12098","","{""Q0"":""The number of mobile customers in UK drops below 30 million from 2018 to 2019.""}","survey-multi-choice","6","59175","0.0-6.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"null","<img src=""chart446.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","7","69179","0.0-7.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""Range-Bar-Opacity.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","8","79182","0.0-8.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart190.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","9","89184","0.0-9.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"8882","","{""Q0"":""People from most Asian countries spent 50 to 70 hours on smartphones.""}","survey-multi-choice","10","98067","0.0-10.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"null","<img src=""chart87.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","11","108071","0.0-11.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""RetrieveValue-Bar-Opacity.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","12","118073","0.0-12.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart555.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","13","128075","0.0-13.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"10295","","{""Q0"":""In 2016, the national debt of Ireland reach the lowest.""}","survey-multi-choice","14","138372","0.0-14.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
"null","<img src=""Trend-Bar-Color.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","15","148375","0.0-15.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart424.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","16","158377","0.0-16.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"null","<img src=""chart412.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","17","168379","0.0-17.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9",""
"11215","","{""Q0"":""The employee number of Brunswick investment banking increased from 2014 to 2017""}","survey-multi-choice","18","179595","0.0-18.0","6","1","2024-06-25 16:09:46","327d8d61a69a55b6203573ad19e3ab64","24.62.218.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/","en-US,en;q=0.9","[0]"
