,vis_type,task,mark,resp
0,bar,retrieve,Opacity,0
1,bar,retrieve,Opacity,0
2,bar,filter,Shade,0
3,bar,filter,Shade,1
4,bar,range,Color,0
5,bar,range,Color,1
6,bar,trend,Text,0
7,bar,trend,Text,1
8,bar,compare,Text,1
9,bar,compare,Text,1
10,line,retrieve,Shade,0
11,line,retrieve,Shade,0
12,line,filter,Line,1
13,line,filter,Line,1
14,line,range,Mark,1
15,line,range,Mark,1
16,line,trend,Line,1
17,line,trend,Line,1
18,line,compare,Color,1
19,line,compare,Color,1
20,scatter,retrieve,Color,0
21,scatter,retrieve,Color,0
22,scatter,filter,Color,1
23,scatter,filter,Color,0
24,scatter,range,Opacity,1
25,scatter,range,Opacity,0
26,scatter,trend,Color,0
27,scatter,trend,Color,1
28,scatter,compare,Opacity,0
29,scatter,compare,Opacity,1
30,bar,retrieve,Shade,1
31,bar,retrieve,Shade,1
32,bar,filter,Opacity,1
33,bar,filter,Opacity,1
34,bar,range,Line,0
35,bar,range,Line,1
36,bar,trend,Shade,0
37,bar,trend,Shade,1
38,bar,compare,Color,1
39,bar,compare,Color,1
40,line,retrieve,Shade,0
41,line,retrieve,Shade,1
42,line,filter,Opacity,1
43,line,filter,Opacity,1
44,line,range,Mark,1
45,line,range,Mark,0
46,line,trend,Color,1
47,line,trend,Color,0
48,line,compare,Color,1
49,line,compare,Color,1
50,scatter,retrieve,Bound,1
51,scatter,retrieve,Bound,1
52,scatter,filter,Line,1
53,scatter,filter,Line,1
54,scatter,range,Line,0
55,scatter,range,Line,0
56,scatter,trend,Color,0
57,scatter,trend,Color,0
58,scatter,compare,Color,0
59,scatter,compare,Color,1
60,bar,retrieve,Bound,0
61,bar,retrieve,Bound,1
62,bar,filter,Color,1
63,bar,filter,Color,0
64,bar,range,Mark,1
65,bar,range,Mark,0
66,bar,trend,Text,1
67,bar,trend,Text,1
68,bar,compare,Text,1
69,bar,compare,Text,1
70,line,retrieve,Opacity,0
71,line,retrieve,Opacity,0
72,line,filter,Bound,0
73,line,filter,Bound,1
74,bar,retrieve,Shade,1
75,bar,retrieve,Shade,0
76,bar,filter,Color,0
77,bar,retrieve,Opacity,0
78,bar,retrieve,Opacity,0
79,bar,filter,Opacity,1
80,bar,filter,Opacity,1
81,bar,range,Mark,0
82,bar,range,Mark,1
83,bar,trend,Mark,0
84,bar,trend,Mark,1
85,bar,compare,Text,1
86,bar,compare,Text,0
87,line,retrieve,Bound,1
88,line,retrieve,Bound,1
89,line,filter,Color,1
90,line,filter,Color,0
91,line,range,Mark,1
92,line,range,Mark,1
93,line,trend,Shade,1
94,line,trend,Shade,0
95,line,compare,Text,0
96,line,compare,Text,1
97,scatter,retrieve,Color,1
98,scatter,retrieve,Color,1
99,scatter,filter,Color,1
100,scatter,filter,Color,1
101,scatter,range,Text,1
102,scatter,range,Text,1
103,scatter,trend,Opacity,1
104,scatter,trend,Opacity,0
105,scatter,compare,Opacity,1
106,scatter,compare,Opacity,1
107,bar,retrieve,Color,0
108,bar,retrieve,Color,0
109,bar,filter,Bound,0
110,bar,filter,Bound,1
111,bar,range,Opacity,1
112,bar,range,Opacity,1
113,bar,trend,Opacity,1
114,bar,trend,Opacity,1
115,bar,compare,Opacity,1
116,bar,compare,Opacity,1
117,line,retrieve,Shade,0
118,line,retrieve,Shade,1
119,line,filter,Shade,0
120,line,filter,Shade,0
121,line,range,Line,1
122,line,range,Line,0
123,line,trend,Color,1
124,line,trend,Color,1
125,line,compare,Text,1
126,line,compare,Text,0
127,scatter,retrieve,Color,1
128,scatter,retrieve,Color,0
129,scatter,filter,Opacity,1
130,scatter,filter,Opacity,1
131,scatter,range,Mark,1
