symbol,date,price
Microsoft,Aug 1 2004,22.47
Microsoft,Sep 1 2004,22.76
Microsoft,Oct 1 2004,23.02
Microsoft,Nov 1 2004,24.6
Microsoft,Dec 1 2004,24.52
Microsoft,Jan 1 2005,24.11
Microsoft,Feb 1 2005,23.15
Microsoft,Mar 1 2005,22.24
Microsoft,Apr 1 2005,23.28
Microsoft,May 1 2005,23.82
Microsoft,Jun 1 2005,22.93
Microsoft,Jul 1 2005,23.64
Microsoft,Aug 1 2005,25.35
Microsoft,Sep 1 2005,23.83
Microsoft,Oct 1 2005,23.8
Microsoft,Nov 1 2005,25.71
Microsoft,Dec 1 2005,24.29
Microsoft,Jan 1 2006,26.14
Microsoft,Feb 1 2006,25.04
Microsoft,Mar 1 2006,25.36
Microsoft,Apr 1 2006,22.5
Microsoft,May 1 2006,21.19
Microsoft,Jun 1 2006,21.8
Microsoft,Jul 1 2006,22.51
Microsoft,Aug 1 2006,24.13
Microsoft,Sep 1 2006,25.68
Microsoft,Oct 1 2006,26.96
Microsoft,Nov 1 2006,27.66
Microsoft,Dec 1 2006,28.13
Microsoft,Jan 1 2007,29.07
Microsoft,Feb 1 2007,26.63
Microsoft,Mar 1 2007,26.35
Microsoft,Apr 1 2007,28.3
Microsoft,May 1 2007,29.11
Microsoft,Jun 1 2007,27.95
Microsoft,Jul 1 2007,27.5
Microsoft,Aug 1 2007,27.34
Microsoft,Sep 1 2007,28.04
Microsoft,Oct 1 2007,35.03
Microsoft,Nov 1 2007,32.09
Microsoft,Dec 1 2007,34.0
Microsoft,Jan 1 2008,31.13
Microsoft,Feb 1 2008,26.07
Microsoft,Mar 1 2008,27.21
Microsoft,Apr 1 2008,27.34
Microsoft,May 1 2008,27.25
Microsoft,Jun 1 2008,26.47
Microsoft,Jul 1 2008,24.75
Microsoft,Aug 1 2008,26.36
Microsoft,Sep 1 2008,25.78
Microsoft,Oct 1 2008,21.57
Microsoft,Nov 1 2008,19.66
Microsoft,Dec 1 2008,18.91
Microsoft,Jan 1 2009,16.63
Microsoft,Feb 1 2009,15.81
Microsoft,Mar 1 2009,17.99
Microsoft,Apr 1 2009,19.84
Microsoft,May 1 2009,20.59
Microsoft,Jun 1 2009,23.42
Microsoft,Jul 1 2009,23.18
Microsoft,Aug 1 2009,24.43
Microsoft,Sep 1 2009,25.49
Microsoft,Oct 1 2009,27.48
Microsoft,Nov 1 2009,29.27
Microsoft,Dec 1 2009,30.34
Microsoft,Jan 1 2010,28.05
Microsoft,Feb 1 2010,28.67
Microsoft,Mar 1 2010,28.8
Amazon,Aug 1 2004,38.14
Amazon,Sep 1 2004,40.86
Amazon,Oct 1 2004,34.13
Amazon,Nov 1 2004,39.68
Amazon,Dec 1 2004,44.29
Amazon,Jan 1 2005,43.22
Amazon,Feb 1 2005,35.18
Amazon,Mar 1 2005,34.27
